"Location","MinTemp","MaxTemp","Rainfall","WindGustDir","WindGustSpeed","RainToday","Humidity9am","Cloud9am","Pressure9am","WindDir9am","WindDir3pm","Cloud5pm","RainTomorrow"
"Cairns",24,30.8,0,"ESE",50,"No",66,7,1015.8,"SSE","ESE",1.4,"No"
"SydneyAirport",8.5,19.8,0,"NE",28,"No",74,2,1028.9,"NW","NE",0.4,"No"
"MountGambier",9.5,22.8,0,"NW",67,"No",46,8,1003.4,"N",NA,1.6,"Yes"
"Brisbane",14,21.4,1.6,"SE",NA,"Yes",84,6,1029.7,NA,"ESE",1.2,"Yes"
NA,NA,29.2,2.2,NA,50,"Yes",69,5,1008.3,"WSW","SE",1,"Yes"
"Cairns",NA,NA,6.8,"S",37,"Yes",86,7,1013.7,"SSE","WSW",1.4,"Yes"
NA,8.4,15.6,19.4,"WSW",50,"Yes",NA,NA,1021.4,"S","SSW",NA,"No"
"Cobar",5.8,18.4,NA,NA,30,NA,76,1,1019.1,"NW","S",0.2,"No"
"Mildura",20.5,22.8,16,"E",NA,"Yes",97,8,1006.7,NA,"ENE",1.6,"Yes"
"Cobar",12.4,14.2,1.2,NA,24,"Yes",94,8,1019.2,"ENE","ENE",1.6,"Yes"
"Albury",6.6,11.3,6,"SW",52,"Yes",85,8,1013,"W","WNW",1.6,"Yes"
NA,25.1,33.8,0,"NW",22,"No",74,NA,1012.8,"SSW","WSW",NA,"No"
"PearceRAAF",12.4,20.5,22.8,"WSW",59,"Yes",75,4,1018.7,"S",NA,0.8,"No"
NA,17.7,23.3,NA,"SSW",50,"Yes",85,NA,NA,"S","SSW",NA,"Yes"
"Mildura",20.1,36.7,0,"N",63,"No",32,5,1009.5,"S",NA,1,"Yes"
NA,22.8,41.9,0,"NW",44,"No",24,NA,1014.9,"ENE","N",NA,"No"
"Watsonia",3.1,10,0.8,"N",22,"No",99,7,1018,NA,"N",1.4,"Yes"
"PerthAirport",17.3,NA,0,"ESE",61,"No",43,1,1016.9,NA,"SSE",0.2,"No"
"Williamtown",21.4,26.3,0,"SSW",50,"No",80,8,1003.4,"SSW",NA,1.6,"No"
"Sale",12.2,27.3,0,"ESE",41,"No",68,2,1023.1,"WSW",NA,0.4,"No"
"AliceSprings",21,35.4,0,"E",37,"No",46,6,1014.1,"E","ESE",1.2,"No"
"Mildura",11.8,NA,0,"WSW",41,"No",55,1,1016.7,"W","W",0.2,"No"
"Mildura",5.3,21.3,0.4,"NW",24,"No",70,0,1023.9,"ENE","NNW",0,"No"
"Bendigo",2,16.4,0,"WNW",33,"No",54,1,1022.3,"E","W",0.2,"No"
"Ballarat",3.6,10.1,1,"W",37,"No",83,4,NA,"W",NA,0.8,"Yes"
"Cairns",NA,27.5,1,NA,35,"No",82,7,1015.6,"SSE","SSE",1.4,"Yes"
"Canberra",NA,21.8,0,"S",35,"No",NA,1,1020.8,NA,NA,0.2,"No"
"Portland",7.6,14.8,0,"N",43,"No",73,7,1012.4,"NNE","N",1.4,"Yes"
"Perth",7.6,18.9,0,"WSW",33,"No",57,NA,1023.8,"N","WSW",NA,"No"
"Mildura",17.6,34,0,"SSE",43,NA,55,3,1011.9,"S",NA,0.6,"No"
"Canberra",9.1,24.7,5.6,NA,39,"Yes",92,1,1014.6,"SSW","NNE",0.2,"No"
"SydneyAirport",NA,19.5,0,"W",57,"No",40,1,1011.7,"WNW",NA,0.2,"No"
NA,11.7,30.5,0,NA,39,"No",35,NA,1019.3,"ESE","E",NA,"No"
"Moree",12.3,30.8,0,NA,33,"No",61,1,1016,"ENE","W",0.2,"No"
"Mildura",15.3,37.4,0,"NNW",61,NA,27,4,1008.6,"NNE","N",0.8,"No"
"PearceRAAF",16.9,32.9,0,"WSW",NA,"No",35,1,1007.4,"S","SW",0.2,"No"
"WaggaWagga",NA,32.5,NA,"ENE",28,"No",60,1,1018.8,"E","SE",0.2,"No"
"Williamtown",NA,32.1,0,"E",35,"No",66,0,NA,"NNW","ESE",0,"No"
"Watsonia",19,36.9,0,"NNE",33,"No",47,1,1012.9,NA,"NNW",0.2,"No"
"Katherine",22.5,36.5,4.2,"E",39,"Yes",NA,0,1010.8,"SE","E",0,"No"
"Watsonia",13.7,28,0,"NE",26,NA,75,6,1023.9,"ENE","NE",1.2,"No"
"Mildura",8.6,21.3,0,"WNW",43,"No",66,0,1017.1,NA,"WNW",0,"No"
"SydneyAirport",NA,25.5,0.2,"E",28,"No",76,2,1025.4,"W",NA,0.4,"No"
"Perth",NA,20.7,5,"SW",NA,"Yes",66,NA,1010.4,"W","WSW",NA,"No"
"Sydney",16.9,24.6,1,"E",37,"No",60,4,1019.9,"ESE",NA,0.8,"No"
"WaggaWagga",9.4,15.1,34.2,"W",56,NA,84,NA,1003.8,"WSW",NA,NA,"Yes"
"Williamtown",15.6,37.1,0,"NW",46,"No",77,1,1011.5,"NNW","NW",0.2,"No"
"WaggaWagga",11,30.7,0,"NE",39,"No",43,0,1017.8,"ENE","NNE",0,"No"
"NorfolkIsland",18.8,24.9,0,"ENE",31,"No",82,5,1016.5,"NNE","SSW",1,"Yes"
"Cairns",25.5,34.5,0,"N",33,"No",NA,7,1005.8,"WNW","N",1.4,"Yes"
"Richmond",9.3,18.9,11.8,"S",31,"Yes",NA,4,1029.5,NA,"SSW",0.8,"No"
NA,4.4,16.1,0,"NNW",19,"No",NA,NA,1030.3,"NNW","SW",NA,"No"
"Darwin",23.2,32.4,0.2,"N",33,"No",NA,2,1013.7,"NE","N",0.4,"No"
"MountGambier",9.2,14.8,7.6,NA,37,"Yes",NA,NA,1009.5,NA,"SE",NA,"Yes"
"Sale",2.8,19.5,0,"NW",52,"No",52,1,1006.9,"NNW","NW",0.2,"No"
"NorfolkIsland",19.7,25,23.8,"SW",33,"Yes",92,5,1016.6,"NE",NA,1,"No"
"Mildura",NA,23.3,0,"SSE",NA,"No",65,7,1018.6,"S",NA,1.4,"No"
"Hobart",2.8,11.7,7.6,"WSW",67,"Yes",48,4,1014.1,"SW","SW",0.8,"No"
"NorfolkIsland",NA,26.9,0,"E",37,"No",83,8,1016.3,"SE","E",1.6,"No"
"Nuriootpa",8.3,14.5,1.4,"WSW",48,"Yes",96,6,1026,"W",NA,1.2,"Yes"
"Moree",10.5,26.9,0,"NNE",39,"No",52,1,1020.7,"NE","ENE",0.2,"No"
"WaggaWagga",13.4,29.4,0,"WSW",NA,"No",NA,3,1015.8,NA,"SW",0.6,"No"
"AliceSprings",14.8,37.4,NA,"NW",33,"No",15,5,1007.8,"NNE","WSW",1,"No"
NA,20.5,31.9,0,"NNE",54,"No",NA,3,1010.2,"N","ENE",0.6,"No"
"Canberra",9.9,29.7,0,"E",NA,"No",NA,5,1019.4,"NW","NNW",1,"No"
"Mildura",27.6,35.2,0,"S",52,NA,26,5,1004,"SW",NA,1,"No"
"PerthAirport",16,NA,11,"W",35,NA,69,NA,1016.6,"WNW","W",NA,"No"
"Nuriootpa",7,13.8,4.4,NA,26,"Yes",88,7,1013.9,"NE",NA,1.4,"Yes"
"Townsville",16.6,24.1,31.8,"SSE",39,"Yes",92,NA,1015.2,"ENE",NA,NA,"No"
"Watsonia",NA,25.8,0,"N",39,"No",54,7,1025.2,"N","N",1.4,"No"
"PerthAirport",11.6,23.4,0,"ENE",31,"No",50,2,1021.9,"NNE","WNW",0.4,"Yes"
NA,3.7,25.7,0,"N",28,"No",30,1,NA,NA,"NNE",0.2,"No"
"Townsville",20.7,29,0,"N",NA,"No",75,1,1012.7,"NNW",NA,0.2,"No"
"Townsville",NA,28,0,"NE",37,NA,56,4,1016.8,"SE","NE",0.8,"No"
"PearceRAAF",NA,27,14.2,"E",59,"Yes",67,7,NA,"E","E",1.4,"No"
"Brisbane",24.6,32.6,0,NA,30,"No",60,NA,1008.6,"NNE","NE",NA,"No"
NA,18.8,24.3,0,"SE",39,"No",73,7,NA,"SE","SSE",1.4,"No"
"Perth",NA,31.5,0,"NE",31,"No",27,1,1017.1,"NNE","WSW",0.2,"No"
"Sydney",8.3,19.4,0,"W",26,"No",87,0,1032.6,"WNW","W",0,"No"
NA,2.7,20.7,0,NA,33,"No",61,0,1027.6,"NNE","WSW",0,"No"
"Cobar",12.2,25.2,NA,"NNW",28,"No",NA,NA,NA,"NNE","N",NA,"No"
"Canberra",7.9,12.1,3.2,"E",28,"Yes",97,8,1026.7,"SSE","E",1.6,"No"
"Ballarat",4,11,0,"W",50,"No",81,7,1015.2,"W","WSW",1.4,"Yes"
"Cairns",24.6,30.3,33.8,"SE",81,"Yes",86,7,1005.6,"SSE","SE",1.4,"Yes"
"PerthAirport",9.8,21.5,0,"NNW",37,"No",66,7,1009.7,"NNE","W",1.4,"Yes"
"Nuriootpa",4.9,19.8,NA,"NNW",NA,NA,55,NA,1033.7,"NNE",NA,NA,"No"
"PearceRAAF",NA,21.6,1.4,"SW",37,"Yes",60,4,1020.5,"W","WSW",0.8,"No"
"Woomera",12.8,28.7,0,"SSE",NA,"No",50,0,NA,"SE","S",0,"No"
"AliceSprings",17.9,35.8,0,NA,41,NA,66,7,1016.5,"ENE","NW",1.4,"No"
"Melbourne",10.8,19.2,NA,"W",NA,"No",54,7,1008.4,"NNW","W",1.4,"No"
"CoffsHarbour",14.7,24.9,3.6,"SSW",NA,"Yes",62,1,1022.2,"SW","E",0.2,"No"
"Portland",NA,19.4,0,"WSW",30,NA,66,7,1021.5,"WNW","W",1.4,"No"
"Ballarat",5.4,28.8,0,"NNW",NA,NA,75,8,1009.9,"N","NNW",1.6,"Yes"
"Woomera",4.8,17,NA,"ENE",39,NA,68,7,1032.8,"ESE","ENE",1.4,"No"
"Cairns",21,28,1.2,"SSE",35,"Yes",91,8,NA,"ESE",NA,1.6,"No"
"Mildura",7.7,19.6,0,"W",50,"No",42,1,1015.3,"WNW","W",0.2,"No"
NA,15.9,34.8,0,NA,52,"No",54,6,1012.5,"E","SSE",1.2,"No"
"CoffsHarbour",9.3,19.1,0.2,NA,28,"No",68,8,1024.7,"SW",NA,1.6,"No"
"Hobart",13.7,31.3,0,"WNW",52,"No",47,4,1002.2,"NW","SE",0.8,"No"
NA,18.7,20.4,0,"S",67,"No",79,7,1015.1,"S","S",1.4,"No"
"Nuriootpa",4.5,12.4,2.4,"W",26,"Yes",NA,8,1027.6,"WSW","WSW",1.6,"No"
"Darwin",28.2,36.6,0,"WNW",33,NA,NA,3,1010.7,"NNE",NA,0.6,"No"
"Hobart",NA,10.7,1.6,"NNW",30,"Yes",83,3,1023.4,NA,NA,0.6,"No"
"PerthAirport",11.6,26.8,0,"E",48,NA,49,3,NA,"ENE","ENE",0.6,"No"
"Mildura",NA,NA,NA,"NNE",39,"No",23,1,1019.2,"NE","W",0.2,"No"
NA,11.1,NA,0,"WSW",46,"No",71,NA,1012.7,"W","SSW",NA,"No"
"Cobar",23,38.9,NA,"W",65,"No",28,7,1012.8,"NE",NA,1.4,"No"
"MelbourneAirport",6.6,13.8,7.2,NA,72,"Yes",64,7,NA,"W","WSW",1.4,"Yes"
"Brisbane",6,20.5,NA,"WSW",17,"No",57,0,1020.4,"SW","WNW",0,"No"
NA,20.5,NA,NA,"NW",80,"No",67,NA,1000.4,"N","WNW",NA,"No"
NA,15.4,21.2,0,"NE",41,"No",69,7,NA,"N","NE",1.4,"No"
"Melbourne",19.3,31.9,0,"NNW",69,"No",49,3,1005,"NNE","WSW",0.6,"Yes"
"AliceSprings",3.2,27,0,"NW",NA,"No",38,0,NA,"ENE","N",0,"No"
"Cairns",21.3,31.9,0,"N",31,"No",56,0,1011.3,"NE","N",0,"No"
"Nuriootpa",11.5,NA,0,"WNW",61,NA,64,7,1009.3,"WNW","WNW",1.4,"No"
NA,24,26.8,50.6,"ESE",44,"Yes",96,8,1007.4,"NNE",NA,1.6,"Yes"
"SydneyAirport",21.8,30.1,0,"NNE",56,"No",60,1,1019.6,"NNE","NE",0.2,"No"
"Sydney",21.4,28.8,0,"E",30,"No",84,8,1012.3,"E","E",1.6,"Yes"
"Brisbane",15.7,27.5,0,"NE",15,"No",77,3,1020.4,"SW","NE",0.6,"No"
"Darwin",24,35.2,0,"NW",41,"No",55,1,NA,"SE","NNW",0.2,"No"
"Richmond",21.1,28.3,24,"SE",NA,"Yes",96,4,1006.8,"S","SSE",0.8,"Yes"
"Cairns",19.5,30.4,0,"SE",37,"No",59,2,1011.6,"SE","ESE",0.4,"No"
"Nuriootpa",13.6,25.2,0,NA,48,"No",54,NA,1017.5,NA,"W",NA,"Yes"
NA,23.6,31.3,0.8,"ENE",46,"No",84,7,NA,"SE",NA,1.4,"Yes"
"PerthAirport",11.5,15.5,0,"SE",52,"No",60,6,1024.3,"SSE","ESE",1.2,"No"
"Portland",8.7,13.8,8.8,"SSW",50,"Yes",NA,8,1030.4,"S","S",1.6,"No"
"Melbourne",9,21.4,0,"SSE",26,"No",NA,7,1021.2,"NNE","S",1.4,"No"
"CoffsHarbour",NA,NA,15.4,"E",28,"Yes",82,1,1019.8,"WSW","ENE",0.2,"No"
"WaggaWagga",3.3,13.7,0.8,"SW",35,NA,NA,7,1021.2,"WNW","WSW",1.4,"No"
NA,14.1,27.1,0,"SSE",33,"No",57,2,1020.4,"ENE","SW",0.4,"No"
"Brisbane",17.7,29.9,0,"NE",19,"No",66,4,1017.5,"NW","NE",0.8,"Yes"
"Cairns",22.5,33,0,"SSE",33,"No",59,NA,NA,"SSE","ESE",NA,"No"
"WaggaWagga",22.8,34.6,13,"NNW",57,"Yes",94,8,1014.1,NA,"NNE",1.6,"Yes"
"Cobar",6.4,18.4,0,"ESE",20,"No",81,6,NA,"E","NNW",1.2,"No"
"Watsonia",11,24.3,0,"N",46,NA,45,NA,1028.8,"NNE","N",NA,"No"
"Albury",1.1,11.9,0,NA,44,"No",100,8,NA,"SSE","SSE",1.6,"No"
"Townsville",24.8,31.4,0,"SE",37,NA,NA,7,1011.3,"ESE","ENE",1.4,"Yes"
"Moree",17.8,33.2,0,"NE",41,"No",59,1,1019.8,"NNE",NA,0.2,"No"
NA,9.7,19.2,0,"WSW",30,"No",91,7,1014.8,"W","SW",1.4,"No"
"CoffsHarbour",8.5,19.3,0,"NW",17,"No",83,7,1020.2,"WSW","NNE",1.4,"No"
"Cairns",21.2,30.2,0,"NNE",28,"No",62,6,NA,"NNE","NNE",1.2,"No"
"Portland",11.2,21.2,0,"ENE",35,NA,NA,NA,NA,"ESE","SE",NA,"Yes"
"Brisbane",17.3,26.8,0.2,"ENE",31,"No",NA,3,1019.4,"NNE","NE",0.6,"No"
"Albury",NA,12.6,0.2,"NW",22,"No",99,8,1024.5,"SE",NA,1.6,"No"
"CoffsHarbour",17.4,25.8,7,"ESE",28,"Yes",75,5,1013.6,"S","SE",1,"No"
"Moree",19.5,25.3,0,"NNE",59,"No",67,8,1013.4,"NNE",NA,1.6,"Yes"
NA,2.4,9.4,NA,"N",59,"No",99,6,1025.7,"N","N",1.2,"No"
"MountGambier",11.6,17.2,29.8,"NW",56,"Yes",94,8,1008.3,"NW","WNW",1.6,"Yes"
NA,7.7,21.2,0,"SW",39,"No",63,1,1021.3,"S","WSW",0.2,"No"
"AliceSprings",19.2,40.3,0,NA,41,"No",4,5,1011.1,"E","ESE",1,"No"
"Bendigo",7.6,23.5,0,"WSW",39,"No",61,6,1017.1,"SSW","SW",1.2,"No"
"Woomera",15.4,26,NA,"SE",44,"No",NA,3,1016.5,NA,"WSW",0.6,"No"
"SydneyAirport",13,NA,NA,NA,28,"No",66,1,1023.3,"NW",NA,0.2,"No"
NA,8.5,13.4,0,"WNW",41,"No",NA,NA,1016.7,"S","WNW",NA,"Yes"
"SydneyAirport",15.8,32.4,0,"SSW",50,"No",51,NA,1022.3,"NNW","S",NA,"No"
"PerthAirport",9.8,22.3,2.4,"NW",39,"Yes",96,7,1013.8,"N","WNW",1.4,"Yes"
"SydneyAirport",6.2,14.1,0,"SSW",46,"No",48,1,1027.3,"W","SSW",0.2,"No"
"PerthAirport",19.6,35.1,0,"ENE",NA,"No",NA,1,1012,"ENE","NNE",0.2,"No"
"Hobart",13.5,31.7,0,"NNW",56,"No",48,NA,1018.3,"NNW","NNW",NA,"No"
NA,NA,20.6,0,"ESE",52,"No",81,8,1017.8,"SSW","SW",1.6,"Yes"
NA,14,NA,0,"SW",37,"No",44,0,1012.5,"ESE","SW",0,"No"
"Katherine",15.5,34.2,0,"E",41,"No",54,NA,1014.9,"SSE",NA,NA,"No"
"Woomera",10.4,26.3,0,"NNE",41,"No",22,0,NA,"NNE",NA,0,"No"
"Portland",14.8,20.1,0,"W",43,"No",76,5,1010.8,"SW","WNW",1,"No"
"Sydney",NA,21.3,0,"SSE",57,NA,61,NA,NA,"SE","SE",NA,"No"
"Perth",10.5,19.6,8.6,"WNW",39,"Yes",80,3,1017,NA,"WNW",0.6,"Yes"
"Nuriootpa",6.6,NA,16.8,"WNW",43,NA,91,7,1017.5,"WNW","W",1.4,"Yes"
"Ballarat",NA,NA,0,"N",35,"No",NA,1,1025.4,NA,"NE",0.2,"No"
"PerthAirport",18.8,35.4,0,"E",67,"No",36,2,1015.2,"ENE","NE",0.4,"No"
"MelbourneAirport",18.5,NA,0,"N",57,"No",39,1,1012.7,"N","NNE",0.2,"No"
"MelbourneAirport",10.5,16.8,0,"W",54,NA,62,7,1015.2,"WNW","NW",1.4,"No"
"MountGambier",4.3,11.2,0,"NE",30,NA,70,3,1030.3,"NE","NE",0.6,"No"
"PearceRAAF",7.9,23.2,0,"WNW",33,"No",94,6,1016.5,"N","W",1.2,"Yes"
"Sydney",14.3,25.2,0,"ESE",39,"No",54,NA,1020,NA,"ESE",NA,"No"
"Darwin",25.8,31.9,3.8,NA,35,"Yes",83,6,1009.7,"SW","NW",1.2,"Yes"
"Moree",21.7,NA,1,"E",39,NA,54,1,1011.9,NA,"ESE",0.2,"No"
"Watsonia",17.7,36.8,NA,NA,59,"No",NA,7,1004.8,"NE","NNW",1.4,"No"
"Katherine",11.9,30.6,0,"ESE",28,"No",70,1,1015.4,"ENE","N",0.2,"No"
"Portland",6.7,18.1,0.4,"N",28,"No",81,NA,1037.8,"N","N",NA,"No"
"Brisbane",15.4,19.6,7.6,"NE",24,"Yes",85,8,1027.3,"S","NE",1.6,"Yes"
"Perth",10.5,34.3,0,"NE",41,NA,21,0,1017.2,"NE","NNE",0,"No"
"Darwin",18.1,30.5,NA,"E",35,"No",46,1,NA,"E","NW",0.2,"No"
"SydneyAirport",9.4,17.7,NA,"WNW",35,"No",74,6,1023.7,"NW","E",1.2,"No"
"CoffsHarbour",16.4,25.9,NA,"E",26,"No",57,1,1007.5,"SE","E",0.2,"No"
"SydneyAirport",6.2,20,0.2,NA,65,"No",78,0,1015.2,"NW","NW",0,"Yes"
"Katherine",12.3,29.2,0,"ESE",41,"No",23,0,1018.6,"ESE","SE",0,"No"
"Katherine",NA,NA,2,"ENE",61,"Yes",66,3,1009,"NW","N",0.6,"Yes"
"Watsonia",19.8,28.4,0,"N",48,"No",36,6,1021.8,"ENE","N",1.2,"Yes"
"Watsonia",NA,35.6,0,"S",28,"No",75,7,1013.4,"SW","SW",1.4,"No"
"Canberra",5.6,15.2,0,"NW",37,NA,NA,7,1021.6,"NNW","NW",1.4,"Yes"
"Cairns",17.5,27.7,0,"SE",NA,"No",61,2,1018.9,"S","ESE",0.4,"No"
"MelbourneAirport",11.2,25.3,0,"ENE",24,"No",89,6,1019.7,"NNW","ESE",1.2,"No"
"Mildura",19.7,31.7,0,"NNW",41,NA,78,1,1016.1,"NNW","SSW",0.2,"No"
"Cairns",24.7,34.8,0.4,"NE",33,NA,54,3,1006.4,NA,"NE",0.6,"Yes"
"MelbourneAirport",7.3,15.6,7.6,NA,41,"Yes",86,7,1024.7,"SSW","S",1.4,"No"
"Watsonia",12.1,32.5,NA,"NNW",35,"No",56,3,NA,"ENE","N",0.6,"No"
"Bendigo",9.1,15.1,NA,"W",33,"Yes",95,8,NA,"WNW","NW",1.6,"Yes"
"Cobar",9.1,12.6,2.6,"W",54,"Yes",80,5,1012.8,"W","WSW",1,"No"
"Moree",3,21.2,0,"NNE",44,NA,82,8,1022.2,"ENE","NNE",1.6,"Yes"
"Moree",9.4,23.4,NA,"SSW",50,"No",94,4,1020.2,"NE",NA,0.8,"Yes"
"Ballarat",11.3,24.8,0,"SSE",50,"No",99,8,1011.1,"SSE","ESE",1.6,"No"
"CoffsHarbour",5.3,NA,0,"WSW",NA,"No",49,0,1017,"WSW","S",0,"No"
NA,12.4,20.5,0,"WSW",NA,"No",45,3,1002.7,"W",NA,0.6,"Yes"
"Williamtown",19.5,27.2,0.2,"ESE",39,NA,64,NA,NA,"ESE","ESE",NA,"No"
NA,12.5,18.2,NA,"W",69,"No",NA,4,1017.7,"W","W",0.8,"No"
NA,9.8,26.6,0,NA,37,"No",69,NA,1030.9,"NW",NA,NA,"No"
"CoffsHarbour",9.9,23.3,NA,"NNE",46,"No",72,3,1024.2,"ESE","NE",0.6,"No"
"CoffsHarbour",17.5,21,1,"S",43,"No",93,8,1018.4,"SW","SSE",1.6,"Yes"
"Cairns",23.1,30.7,11.4,NA,48,"Yes",83,7,1014,"S","SE",1.4,"No"
NA,NA,11.7,2,"W",46,"Yes",NA,4,1015.7,NA,"WNW",0.8,"No"
"Woomera",5.4,17.1,0,"ESE",22,"No",72,0,1031.2,"E","ENE",0,"No"
"Canberra",-1.5,NA,0,"NNW",30,"No",68,1,1020.1,"N","NW",0.2,"No"
"Uluru",24.6,34.9,NA,NA,48,"No",30,3,1017.6,"ESE","ENE",0.6,"No"
NA,8.3,17.3,0.2,"NW",69,"No",87,6,1008.2,"NNW","NW",1.2,"Yes"
"Nuriootpa",8,NA,1,NA,43,"No",93,7,1014.4,NA,"SW",1.4,"No"
"AliceSprings",13.9,23.6,0,"SSW",41,"No",44,1,1017.8,"S","SSE",0.2,"No"
NA,7,NA,0,"E",41,"No",NA,0,1032.5,"ESE","ESE",0,"No"
"Katherine",27,NA,0,"WNW",41,"No",61,6,1011.3,"WNW","NW",1.2,"No"
NA,5.8,24.2,0,"ENE",35,"No",48,0,1025.8,"ENE","N",0,"No"
"Canberra",3.5,17,0,"E",NA,"No",70,1,1026.5,"SSE","ENE",0.2,"No"
"WaggaWagga",7.6,10.2,NA,"WSW",33,"Yes",93,8,1010.4,"E","ESE",1.6,"Yes"
"NorfolkIsland",15.9,21.9,0,"SE",35,"No",66,2,1020.9,NA,"SE",0.4,"No"
"Bendigo",2.2,11.9,0,"ENE",30,"No",58,3,1017.9,"ENE",NA,0.6,"No"
"PerthAirport",18.3,31.7,0,"E",41,"No",72,7,1017.5,"E","E",1.4,"No"
"PearceRAAF",5.7,17.9,0,"ENE",22,"No",88,NA,NA,"NNW","NNE",NA,"Yes"
"Darwin",26.1,35.9,0,NA,39,"No",64,4,1009.8,"N","NNE",0.8,"No"
"NorfolkIsland",16.4,20.9,0,"NE",50,NA,74,7,NA,"NNE","NE",1.4,"Yes"
"Cobar",11.5,28.1,0,"NE",35,"No",40,NA,1026.3,"ENE","NNE",NA,"No"
"Hobart",12.2,17.8,0.6,"SE",37,"No",56,7,1018.8,"SW","SSE",1.4,"No"
NA,6.1,15.1,0.4,"WSW",70,"No",37,2,1012.5,"W","W",0.4,"No"
"Nuriootpa",8,21.7,0.6,"SSE",NA,"No",73,7,1017.8,"N",NA,1.4,"No"
"SydneyAirport",15.6,21.7,0,"S",39,"No",83,8,1022.9,"S","S",1.6,"No"
"Hobart",3.7,7.7,7.6,"WSW",65,"Yes",67,NA,987.2,"WSW","SW",NA,"Yes"
"Watsonia",8,16.7,0,"SW",13,"No",83,7,1026.1,"NNW","S",1.4,"No"
"Moree",10.5,NA,0,"NNE",39,"No",48,1,1023.1,"N","NW",0.2,"No"
"Mildura",3.9,21.2,0,"NNE",20,NA,91,5,1032,"E","NNE",1,"No"
"Brisbane",15,23.9,10.4,NA,24,"Yes",62,2,1022.4,"SE","ENE",0.4,"No"
"PerthAirport",10.2,18.8,4.6,"SW",48,"Yes",79,5,1019.8,"NNW","W",1,"No"
"Melbourne",NA,13.1,0,"N",57,"No",NA,7,1019.5,"N","N",1.4,"Yes"
"Melbourne",14.1,21.6,1.2,"S",37,"Yes",90,NA,1020.6,"SSW","S",NA,"No"
"Darwin",25.8,31.9,NA,"E",46,"No",86,7,1008.9,"ESE",NA,1.4,"Yes"
"Hobart",NA,18.9,0,"NW",39,NA,58,7,1012.5,"SSW","ESE",1.4,"No"
"Woomera",6.1,17.9,0,"SSW",28,NA,82,1,NA,"SSW","SW",0.2,"No"
"Townsville",18.6,25.9,0,"ESE",NA,NA,60,NA,1021.4,"ESE",NA,NA,"No"
"NorfolkIsland",21.6,25.8,0,"E",NA,"No",77,7,1011.7,"ENE","ENE",1.4,"Yes"
NA,8.6,27.3,0,"N",35,"No",74,0,1021.7,"E",NA,0,"No"
"NorfolkIsland",19.9,24.8,1.8,"SE",NA,"Yes",71,4,1019,"ESE","ESE",0.8,"No"
NA,12.1,29,0,"N",33,"No",43,1,1017.8,NA,"S",0.2,"No"
"Townsville",18.8,27.3,0,"ENE",39,"No",69,6,1015.9,"ESE","ENE",1.2,"No"
"Perth",NA,19.4,30.2,"SW",33,"Yes",78,3,1017.5,"SE","S",0.6,"No"
"MelbourneAirport",3.6,NA,0.8,"WSW",30,"No",60,7,1026.6,"W","SSW",1.4,"No"
"Williamtown",9.7,21,0,"SE",22,"No",91,8,1021.3,"NW","SE",1.6,"Yes"
"Mildura",11,27.1,0,"W",39,"No",56,1,1022.4,"N","W",0.2,"No"
"NorfolkIsland",18.4,23.2,0,"NW",35,"No",75,3,1017.4,"NW","WNW",0.6,"No"
"Perth",7.1,21.7,0,"SSW",26,NA,79,5,1014.9,"NNE","WSW",1,"Yes"
"PerthAirport",10.8,26.2,0,"SW",39,"No",NA,1,1022.9,"ESE",NA,0.2,"No"
"Cairns",NA,30.5,48.4,NA,35,"Yes",89,7,1000,"SSE","NNE",1.4,"Yes"
"WaggaWagga",4.1,14.6,0,"SW",22,"No",76,4,1023.2,"WNW","WSW",0.8,"No"
"WaggaWagga",23.2,34.4,0,NA,63,"No",52,5,1009.6,"N",NA,1,"No"
"Sale",12.6,23.7,0,NA,48,"No",73,7,1021.9,"E","E",1.4,"No"
"Perth",13.3,NA,0,"SW",39,"No",49,0,1018.2,"SSE","SW",0,"No"
"Perth",5.1,19.4,0,"E",26,"No",73,2,1022.7,"E","E",0.4,"No"
"Albury",9,14.3,7,"W",44,"Yes",93,8,1010.8,NA,"NNW",1.6,"Yes"
"SydneyAirport",21.1,36.3,0,NA,81,"No",57,7,NA,"NW","WNW",1.4,"No"
"Brisbane",19.9,28.5,0,"ENE",24,"No",59,5,1023.3,NA,"ENE",1,"No"
"Nuriootpa",3.8,17.8,0.4,"ESE",41,"No",NA,0,1030.7,NA,"WNW",0,"No"
NA,18.4,NA,3.2,"S",72,"Yes",NA,0,1004.2,"NNW","SSW",0,"No"
NA,NA,22.2,NA,"E",33,"No",70,1,1021.9,"SE","SE",0.2,"No"
"Hobart",12.9,26.1,NA,"SE",41,NA,67,0,1022,NA,"SE",0,"No"
"Ballarat",-0.9,11.2,0,"N",31,"No",100,NA,1027.2,NA,"N",NA,"No"
NA,NA,9.4,0.6,NA,30,"No",92,2,1025.9,"WSW","WSW",0.4,"No"
"Sydney",20.3,28.3,0,"NE",44,"No",51,1,1014.9,"NE","NE",0.2,"No"
NA,12.2,19,0,NA,28,"No",59,NA,1020.5,"WSW","WNW",NA,"Yes"
"Portland",8.7,16.1,0,"NW",65,"No",90,7,1001.9,"NNW","NNW",1.4,"Yes"
"Perth",5.1,19,0,"UNKNOWN",28,"No",NA,1,1029.2,"S","WSW",0.2,"No"
